date,ad_product_category,region,ad_placement,industry,impressions,cpm,customer_id,account_id,revenue
2018-08-21,A,Two,Alpha,A,76875,3.4281603900000004,22335959096623099904,1685.0,263.53982998125
2018-08-21,A,Two,Alpha,A,138557,2.9376097971000004,65453168696634703872,2376.0,407.02640065678474
2018-08-21,A,Two,Alpha,B,15100,1.7658862874999999,20851691626551500800,738.0,26.66488294125
2018-08-21,A,Two,Beta,C,1652,4.921760391,65065687136565698560,736.0,8.130748165932
2018-08-21,A,Three,Alpha,A,168717,6.766652499,7167836216593189888,1191.0,1141.649309673783
2018-08-21,A,Two,Beta,A,4990,1.2222222221999999,65453168696634703872,2376.0,6.098888888777999
2018-08-21,A,Three,Beta,A,27902,4.152175488,7167836216593189888,1191.0,115.854000466176
2018-08-21,A,Two,Beta,A,13804,1.6467403233,70138531936513400832,2110.0,22.7316034228332
2018-08-21,A,Three,Alpha,A,45833,4.920293529,2108887106633270016,2262.0,225.51181331465702
2018-08-21,A,Four,Beta,B,10554304,2.5308228513,0,0.0,26711.073742766996
2018-08-21,A,Two,Beta,A,41402,2.212236534,13029990496521199616,2111.0,91.591016980668
2018-08-21,A,Two,Alpha,A,174646,3.5975814990000003,5893079106628459520,143.0,628.303218474354
2018-08-21,A,Two,Beta,A,174,26.284883721,82072197186618802176,2216.0,4.573569767454
2018-08-21,A,Two,Alpha,A,75394,4.567074804000001,59554744386631401472,143.0,344.33003777277605
2018-08-21,A,Two,Beta,A,10976,2.8909542651,50432860226600198144,1298.0,31.7311140137376
2018-08-21,A,Two,Alpha,A,15844,0.0,60429363306514096128,333.0,0.0
2018-08-21,A,Two,Alpha,A,246775,3.3965424090000003,86869534786620194816,2214.0,838.181752980975
2018-08-21,A,Two,Beta,A,684,0.0,60429363306514096128,333.0,0.0
2018-08-21,A,One,Alpha,A,16074,6.075400566,8800245816606390272,355.0,97.655988697884
2018-08-21,A,Three,Alpha,A,247335,8.447081499,8800245816606390272,355.0,2089.2589025551647
2018-08-21,A,Two,Alpha,A,65932,4.363164264,69776947256609898496,143.0,287.67214625404796
2018-08-21,A,Two,Alpha,A,480,1.4589473685,13029990496521199616,2111.0,0.7002947368800001
2018-08-21,A,One,Alpha,A,67015,3.895284171,2108887106633270016,2262.0,261.042468719565
2018-08-21,A,Two,Alpha,A,6332,2.2056149307,20136017986630598656,2216.0,13.965953741192399
2018-08-21,A,Two,Alpha,A,6932,1.1011219583999998,56232765496604999680,1403.0,7.632977415628798
2018-08-21,A,Two,Alpha,B,2174,2.3447481414,97131294816545292288,728.0,5.097482459403601
2018-08-21,A,Two,Beta,A,77,0.4342105263,56369510466612502528,1544.0,0.0334342105251
2018-08-21,A,Two,Alpha,A,72590,3.124556496,71493324896517201920,78.0,226.81155604463999
2018-08-21,A,Two,Beta,F,136,0.48888888899999994,17054699576641699840,2725.0,0.066488888904
2018-08-21,A,Two,Alpha,A,10830,3.5391215160000002,63357777976634302464,2218.0,38.32868601828
2018-08-21,A,Two,Alpha,A,3091,2.4264705882,31169638456600600576,1329.0,7.5002205881262
2018-08-21,A,Two,Alpha,A,173010,3.1457468609999997,50432860226600198144,1298.0,544.24566442161
